country,Max_city,Max_col,min_city,min_col
Martinique,Fort-de-France,68597.82,Fort-de-France,68597.82
Mauritania,Nouakchott,59907.76,Nouakchott,59907.76
Mauritius,"Centre de Flacq",65451.53,Curepipe,58214.7
Mexico,"Poza Rica de Hidalgo",68524.58,"Tixtla de Guerrero",34217.52
Moldova,Taraclia,68351.97,Tiraspol,36447.88
Monaco,Monaco,64212.97,Monaco,64212.97
Mongolia,Erdenet,65612.73,Mandalgovi,40780.04
Montenegro,Ulcinj,73922.76,Cetinje,41781.51
Montserrat,Brades,60776.05,Brades,60776.05
Morocco,Essaouira,65832.03,Kouribga,38299.08
Mozambique,Xai-Xai,73318.26,Beira,68481.41
Myanmar,Pyu,68524.58,Mandalay,60849.65
Namibia,Windhoek,56378.55,Swakopmund,38964.49
Nauru,Yaren,67463.99,Yaren,67463.99
Nepal,Tulsipur,67618.64,Biratnagar,49308.47
Netherlands,Amsterdam,88601.99,Beverwijk,60073.98
"New Caledonia",Noumea,75401.38,Noumea,75401.38
"New Zealand",Dunedin,76716.8,"Palmerston North",59990.36
Nicaragua,Diriamba,70225.4,Matagalpa,44820.74
Niger,Niamey,61016.59,Niamey,61016.59
Nigeria,Abuja,68709.54,Makurdi,45294.97
"North Korea",Pyongyang,75782.66,Pyongyang,75782.66
"North Macedonia",Kavadarci,61578.12,Kocani,37267.91
Norway,Alesund,87528.45,Larvik,63381.86
Oman,Matrah,68528.91,Salalah,41792.18
Pakistan,"Toba Tek Singh",68471.26,Sargodha,34556.38
Panama,"Panama City",66626.97,Santiago,48792.9
"Papua New Guinea",Alotau,68524.58,"Mount Hagen",64558.65
Paraguay,Villarrica,68344.84,Asuncion,48383.74
Peru,Pucallpa,68524.58,Arequipa,44797.85
Philippines,"Taguig City",69713.38,Valenzuela,36610.87
Poland,Warsaw,70419.52,Zamosc,39917.39
Portugal,Cascais,85808.31,Almada,52325.24
"Puerto Rico",Gurabo,76451.03,"Santa Isabel",57419.96
Qatar,"Umm Salal `Ali",68524.58,"Al Wakrah",66283.67
Reunion,Saint-Denis,73373.06,Saint-Denis,73373.06
Romania,Lupeni,76514.54,Mangalia,37389.92
Russia,Solikamsk,81506.14,Groznyy,33294.11
Rwanda,Gisenyi,59671.45,Kigali,46139.63
"Saint Helena",Jamestown,73949.06,Jamestown,73949.06
"Saint Kitts And Nevis",Basseterre,67909.68,Basseterre,67909.68
"Saint Lucia",Castries,59045.4,Castries,59045.4
"Saint Vincent And The Grenadines",Kingstown,49376.45,Kingstown,49376.45
Samoa,Apia,61184.98,Apia,61184.98
"San Marino",Acquaviva,63105.89,"San Marino",61894.14
"Sao Tome And Principe","Sao Tome",59434.76,"Sao Tome",59434.76
"Saudi Arabia","Hafr al Batin",68376.44,"Al Hufuf",40578
Senegal,Thies,69337.99,Saint-Louis,68038.02
Serbia,Prokuplje,68524.58,"Novi Pazar",39489.3
Seychelles,Victoria,61275.79,Victoria,61275.79
"Sierra Leone",Freetown,56348.08,Freetown,56348.08
Singapore,Singapore,68668.86,Singapore,68668.86
"Sint Maarten",Philipsburg,64618.02,Marigot,53191.51
Slovakia,Bratislava,76615.01,Trebisov,44649.18
Slovenia,Ljubljana,71819.57,"Novo Mesto",44720.02
"Solomon Islands",Honiara,63130.28,Honiara,63130.28
Somalia,Jawhar,59827.49,Mogadishu,55789.6
"South Africa",Upington,67540.71,"Mossel Bay",44783.51
"South Korea",Seoul,79563.59,Wonju,62274.32
"South Sudan",Juba,68383.62,Juba,68383.62
Spain,Barcelona,81296.3,Jaen,40028.94
"Sri Lanka",Jaffna,65019.52,Kurunegala,48690.14
